No,Location,Code,No Spaces,Exact Location,Installed,Tarriff,Nearest PandDs Same zone,Hours of Operation,Clr-Way,Clearway Hrs,Comment,Further Information,Finished,Comment 1,Zone,Located,geometry,geometry 1,geometry 2,Longitude,Latitude
826,The Belfry (Inchicore),8,20 P n D / DP,Junction Of Inchicore Road,,€ 1.00,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.315365,53.342149</coordinates></Point>","-6.315365,53.342149</coordinates></Point>","-6.315365,53.342149",-6.315365,53.342149
827,Ard Rí Road,7,58 P n D / DP,Junction Of Arbour Hill / Side of Number 29,,€ 1.60,Viking Place 153,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.284862,53.34982</coordinates></Point>","-6.284862,53.34982</coordinates></Point>","-6.284862,53.34982",-6.284862,53.34982
830,Grangegorman Upper,7,60 P n D / DP,Opposite Entrance To St. Brendan's Hospital,,€ 2.40,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.278384,53.354795</coordinates></Point>","-6.278384,53.354795</coordinates></Point>","-6.278384,53.354795",-6.278384,53.354795
831,Griffith Avenue,9,75 P n D / DP,At The School / Opposite Number 31,,€ 1.00,None Nearby,Mon-Fri 12.00-17.00,TRUE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.232473,53.37029</coordinates></Point>","-6.232473,53.37029</coordinates></Point>","-6.232473,53.37029",-6.232473,53.37029
832,Clontarf Road,3,29 P n D / DP (Total),Near Hollybrook Road,02/07/2005,€ 1.00,Hollybrook Road 533,Mon-Sat 07.00-16.00,TRUE,16.00-19.00,,,FALSE,,Orange,Y,"<Point><coordinates>-6.218216,53.36266</coordinates></Point>","-6.218216,53.36266</coordinates></Point>","-6.218216,53.36266",-6.218216,53.36266
833,Raheny Road,5,10 P n D / DP,Opposite Number 180,09/08/2005,€ 1.00,None Nearby,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.176316,53.383463</coordinates></Point>","-6.176316,53.383463</coordinates></Point>","-6.176316,53.383463",-6.176316,53.383463
834,Fairfield Park,6,30 P n D / DP,Jct Highfield Road,22/08/2005,€ 1.00,None Nearby,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.271169,53.312684</coordinates></Point>","-6.271169,53.312684</coordinates></Point>","-6.271169,53.312684",-6.271169,53.312684
835,Dolphin Avenue,8,34 P n D / DP,Junction of SCR,04/10/2005,€ 1.00,St Anne's Road South 568,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.287491,53.3322</coordinates></Point>","-6.287491,53.3322</coordinates></Point>","-6.287491,53.3322",-6.287491,53.3322
842,Airfield Park,4,37 P n D / DP,Junction Of Stillorgan Road / At Number 1,03/02/2006,€ 1.00,None Nearby,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.226564,53.314676</coordinates></Point>","-6.226564,53.314676</coordinates></Point>","-6.226564,53.314676",-6.226564,53.314676
843,St. John's Road East,4,63 P n D / DP,Opposite Strand House / Junction Of Strand Mews,03/02/2006,€ 1.00,None Nearby,Mon-Sun 07.00-24.00,FALSE,,,Orange Zone 1.00,FALSE,,Orange,Y,"<Point><coordinates>-6.207857,53.324946</coordinates></Point>","-6.207857,53.324946</coordinates></Point>","-6.207857,53.324946",-6.207857,53.324946
844,Phibsborough Road,7,43 P n D / DP,McGowan's Pub,,€ 2.40,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.273734,53.35612</coordinates></Point>","-6.273734,53.35612</coordinates></Point>","-6.273734,53.35612",-6.273734,53.35612
845,Serpentine Avenue,4,60 P n D / DP (Total),At Pembroke Wanderer's Hockey Club Entrance,,€ 2.40,Serpentine Ave 391,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.225069,53.329373</coordinates></Point>","-6.225069,53.329373</coordinates></Point>","-6.225069,53.329373",-6.225069,53.329373
846,Merton Drive,6,44 P n D / DP,At Number 20,,€ 1.60,Cowper Rd E 829,Mon-Sun 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.253918,53.31472</coordinates></Point>","-6.253918,53.31472</coordinates></Point>","-6.253918,53.31472",-6.253918,53.31472
849,Arranmore Avenue,7,13 P n D,Junction N.C.R,,€ 1.60,221 Goldsmith Street,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.270182,53.36076</coordinates></Point>","-6.270182,53.36076</coordinates></Point>","-6.270182,53.36076",-6.270182,53.36076
850,Glenarm Avenue,9,34 P n D / DP,Opposite Jct Hollybank Road,,€ 1.60,None Nearby,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.256937,53.366911</coordinates></Point>","-6.256937,53.366911</coordinates></Point>","-6.256937,53.366911",-6.256937,53.366911
851,Neville Road,6,73 P n D / DP,Side of No. 74 Highfield Road,,€ 1.00,None Nearby,Mon-Fri  07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.267402,53.313389</coordinates></Point>","-6.267402,53.313389</coordinates></Point>","-6.267402,53.313389",-6.267402,53.313389
852,Tritonville Road,4,16 P n D / DP,Outside No. 16,,€ 1.00,None Nearby,Mon-Fri  07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.222168,53.3374</coordinates></Point>","-6.222168,53.3374</coordinates></Point>","-6.222168,53.3374",-6.222168,53.3374
853,Mill Street,8,,Opposite The Mill,,€ 2.40,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.275883,53.337119</coordinates></Point>","-6.275883,53.337119</coordinates></Point>","-6.275883,53.337119",-6.275883,53.337119
854,Sir John Rogerson's Quay,2,102 P n D / DP (Total),At No. 43-49,,€ 1.60,Sir John Rogerson's Quay 855,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.239394,53.346012</coordinates></Point>","-6.239394,53.346012</coordinates></Point>","-6.239394,53.346012",-6.239394,53.346012
855,Sir John Rogerson's Quay,2,102 P n D / DP (Total),At Dublin Docksides,,€ 1.60,Sir John Rogerson's Quay 854,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.236297,53.345751</coordinates></Point>","-6.236297,53.345751</coordinates></Point>","-6.236297,53.345751",-6.236297,53.345751
856,Castleforbes Road,1,,Junction Mayor Street Upper,,€ 1.60,North Wall Quay 474,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.231907,53.348409</coordinates></Point>","-6.231907,53.348409</coordinates></Point>","-6.231907,53.348409",-6.231907,53.348409
858,Newbridge Avenue,4,,O/s 11-13 Newbridge Avenue,14/03/2007,€ 1.00,None Nearby,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.223601,53.335426</coordinates></Point>","-6.223601,53.335426</coordinates></Point>","-6.223601,53.335426",-6.223601,53.335426
859,North Circular Road,7,7 P n D / DP,Entrance A  n  E,,€ 2.40,Glengarriff Parade,Mon-Sat 07.00-16.00,TRUE,Bus Lane,,,TRUE,,Orange,Y,"<Point><coordinates>-6.266416,53.360265</coordinates></Point>","-6.266416,53.360265</coordinates></Point>","-6.266416,53.360265",-6.266416,53.360265
860,Ailesbury Gardens,4,50 P n D / DP,At the side of 39 St. Alban's Park,,€ 1.00,None Nearby,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.209226,53.319485</coordinates></Point>","-6.209226,53.319485</coordinates></Point>","-6.209226,53.319485",-6.209226,53.319485
861,Sandymount Castle Road,4,20 P n D / DP,Gilford Road Junction,,€ 1.00,6 In Sandymount Village,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.215592,53.330921</coordinates></Point>","-6.215592,53.330921</coordinates></Point>","-6.215592,53.330921",-6.215592,53.330921
862,Temple Road,6,160 P n D / DP,Opposite No. 13 / At Junction With Orchard Road South,,€ 1.00,None Nearby,Mon-Sat 07.00-13.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.257425,53.31115</coordinates></Point>","-6.257425,53.31115</coordinates></Point>","-6.257425,53.31115",-6.257425,53.31115
865,Milltown Road,6,5 P n D,At lamp standard 22A,,€ 1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.246897,53.313215</coordinates></Point>","-6.246897,53.313215</coordinates></Point>","-6.246897,53.313215",-6.246897,53.313215
866,Cullenswood Gardens,6,5 P n D / DP,Junction of Merton Drive,,€ 1.60,None Nearby,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.249156,53.320716</coordinates></Point>","-6.249156,53.320716</coordinates></Point>","-6.249156,53.320716",-6.249156,53.320716
867,Ailesbury Park,4,72 P n D / DP,Opp LS 8,,€ 1.60,4 On Ailesbury Rd,Mon-Fri 08.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.212051,53.32048</coordinates></Point>","-6.212051,53.32048</coordinates></Point>","-6.212051,53.32048",-6.212051,53.32048
868,Valentia Parade,7,30 P n D / DP,Innisfallen Parade Jxn / Side of No. 24,,€ 1.60,Innisfallen Parade 423,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.262797,53.360994</coordinates></Point>","-6.262797,53.360994</coordinates></Point>","-6.262797,53.360994",-6.262797,53.360994
871,Fingal Place,7,20 P n D / DP,At No. 3,,€ 1.60,Prussia St 25,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.285631,53.354225</coordinates></Point>","-6.285631,53.354225</coordinates></Point>","-6.285631,53.354225",-6.285631,53.354225
875,New Street South,8,,Opposite Number 12,,€ 2.40,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.272632,53.337692</coordinates></Point>","-6.272632,53.337692</coordinates></Point>","-6.272632,53.337692",-6.272632,53.337692
878,Farney Park,4,52 P n D,Opposite Glenesk Court,,€ 1.00,Claremont Road 816,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.220549,53.33193</coordinates></Point>","-6.220549,53.33193</coordinates></Point>","-6.220549,53.33193",-6.220549,53.33193
882,Mountpleasant Avenue Upper,6,24 P n D / DP,At No. 8,,€ 2.40,Gulistan Tce 725,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.260773,53.325855</coordinates></Point>","-6.260773,53.325855</coordinates></Point>","-6.260773,53.325855",-6.260773,53.325855
884,Wellington Street Lower,7,22 P n D / DP,Opposite No. 3,,€ 2.40,Dorset St Lower 874 (€2.50),Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.26617,53.355606</coordinates></Point>","-6.26617,53.355606</coordinates></Point>","-6.26617,53.355606",-6.26617,53.355606
886,Fairfield Road,9,49 P n D / DP,Junction of Daneswell Road,,€ 1.60,None Nearby,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.267175,53.370071</coordinates></Point>","-6.267175,53.370071</coordinates></Point>","-6.267175,53.370071",-6.267175,53.370071
887,Reuben Street,8,73 P n D / DP,Opposite No. 38,,€ 1.00,None Nearby,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.291606,53.335539</coordinates></Point>","-6.291606,53.335539</coordinates></Point>","-6.291606,53.335539",-6.291606,53.335539
889,St. Brigid's Road Upper,9,41 P n D / DP,At number 1,,€ 1.60,St. Alphonsus' Road 452,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.261096,53.36477</coordinates></Point>","-6.261096,53.36477</coordinates></Point>","-6.261096,53.36477",-6.261096,53.36477
890,Clyde Road,4,22 P n D / DP (Total),At Number 22,,€ 2.90,3 On Clyde Rd,Mon-Fri  10.00-18.00,FALSE,,,,FALSE,,Yellow,Y,"<Point><coordinates>-6.239029,53.328655</coordinates></Point>","-6.239029,53.328655</coordinates></Point>","-6.239029,53.328655",-6.239029,53.328655
892,Herbert Road,4,74 P n D / DP,Opposite Lansdowne Square Entrance,,€ 2.40,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.223497,53.33325</coordinates></Point>","-6.223497,53.33325</coordinates></Point>","-6.223497,53.33325",-6.223497,53.33325
893,Darley Street,6,25 P n D,Opposite No. 19,,€ 1.60,Armstrong Street 824,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.274488,53.327798</coordinates></Point>","-6.274488,53.327798</coordinates></Point>","-6.274488,53.327798",-6.274488,53.327798
894,Ivar Street,7,42 P n D,Opposite No. 16,,€ 1.60,Manor Place 870,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.28626,53.352024</coordinates></Point>","-6.28626,53.352024</coordinates></Point>","-6.28626,53.352024",-6.28626,53.352024
895,Dufferin Street,8,87 P n D,side wall of no.1,,€ 1.60,Washington Street 38,Mon-Fri 08.00-18.30,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.281543,53.331521</coordinates></Point>","-6.281543,53.331521</coordinates></Point>","-6.281543,53.331521",-6.281543,53.331521
896,Sunbury Gardens,,,,,€ 1.00,,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.262976,53.312264</coordinates></Point>","-6.262976,53.312264</coordinates></Point>","-6.262976,53.312264",-6.262976,53.312264
897,Holyrood Park,2,29 P n D/DP,At Dart Station,,€ 1.00,None,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.22181,53.328687</coordinates></Point>","-6.22181,53.328687</coordinates></Point>","-6.22181,53.328687",-6.22181,53.328687
898,Clontarf Street,3,25 P n D,At No. 186,,€ 1.00,Clontarf Road,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.197202,53.35941</coordinates></Point>","-6.197202,53.35941</coordinates></Point>","-6.197202,53.35941",-6.197202,53.35941
899,Dodderview Cottages,4,28 P n D,Opposite No. 37,,€ 2.40,Shelbourne Road 658,Mon-Fri  08.00-18.30,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.230545,53.330542</coordinates></Point>","-6.230545,53.330542</coordinates></Point>","-6.230545,53.330542",-6.230545,53.330542
900,Mount Joy Street,,,,,€ 2.40,,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.269221,53.354456</coordinates></Point>","-6.269221,53.354456</coordinates></Point>","-6.269221,53.354456",-6.269221,53.354456
901,Kilmainham Lane,8,43 P n D,At Royal Oak,,€ 1.00,Kilmainham Lane,Mon-Fri  07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.303792,53.341689</coordinates></Point>","-6.303792,53.341689</coordinates></Point>","-6.303792,53.341689",-6.303792,53.341689
902,Harold's Cross Cottages,6,11 P n D,Opposite No. 16,,€ 1.60,Greenmount Lane 47,Mon-Fri  07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.284868,53.329107</coordinates></Point>","-6.284868,53.329107</coordinates></Point>","-6.284868,53.329107",-6.284868,53.329107
903,Park Drive,1,,,,€ 1.60,,Mon-Fri  07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.251291,53.316955</coordinates></Point>","-6.251291,53.316955</coordinates></Point>","-6.251291,53.316955",-6.251291,53.316955
904,Ashdale Road,1,25 spaces,Ashdale Road,,€ 1.60,Eaton Square 891,Mon-Fri  07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.285462,53.314288</coordinates></Point>","-6.285462,53.314288</coordinates></Point>","-6.285462,53.314288",-6.285462,53.314288
905,Ring Terrace,,,,,€ 1.00,,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.32672,53.335929</coordinates></Point>","-6.32672,53.335929</coordinates></Point>","-6.32672,53.335929",-6.32672,53.335929
906,Reuben Avenue,,,,,€ 1.00,,Mon-Fri  07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.292296,53.335531</coordinates></Point>","-6.292296,53.335531</coordinates></Point>","-6.292296,53.335531",-6.292296,53.335531
907,Wilfield Park,4,47 P n D,Opposite Foxfield House,,€ 1.00,Sandymount Avenue 76,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.219035,53.328286</coordinates></Point>","-6.219035,53.328286</coordinates></Point>","-6.219035,53.328286",-6.219035,53.328286
908,Casimir Road,6,74 P n D,At No. 59,,€ 1.60,Harold's Cross Road 726,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.282763,53.321717</coordinates></Point>","-6.282763,53.321717</coordinates></Point>","-6.282763,53.321717",-6.282763,53.321717
909,Charleston Avenue,6,41 P n D,At Trinity House,,€ 1.60,Mount Pleasant Avenue 582,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.258751,53.323543</coordinates></Point>","-6.258751,53.323543</coordinates></Point>","-6.258751,53.323543",-6.258751,53.323543
911,Claude Road,9,46 P n D/DP,At side of house no. 49A,,€ 1.60,None,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.265746,53.363463</coordinates></Point>","-6.265746,53.363463</coordinates></Point>","-6.265746,53.363463",-6.265746,53.363463
912,Merton Ave,8,38 P n D,Opp. No. 4,20/02/2008,€ 1.60,None nearby,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.281797,53.333044</coordinates></Point>","-6.281797,53.333044</coordinates></Point>","-6.281797,53.333044",-6.281797,53.333044
913,Thomas Davis St. West,,42 P n D,At No. 28,,€ 1.00,Emmet Road 109,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.319162,53.338402</coordinates></Point>","-6.319162,53.338402</coordinates></Point>","-6.319162,53.338402",-6.319162,53.338402
914,Camac Court,,13 P n D,At junction Inchicore Road,,€ 1.00,Inchicore Road 756,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.315632,53.341856</coordinates></Point>","-6.315632,53.341856</coordinates></Point>","-6.315632,53.341856",-6.315632,53.341856
915,St Columba's Road Lower,,,Opposite No. 18,,€ 1.60,,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.263259,53.36367</coordinates></Point>","-6.263259,53.36367</coordinates></Point>","-6.263259,53.36367",-6.263259,53.36367
916,Wellington Street Upper,,,,,€ 2.40,,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.27036,53.354867</coordinates></Point>","-6.27036,53.354867</coordinates></Point>","-6.27036,53.354867",-6.27036,53.354867
917,Wilfrid Road,,24 P n D,Outside No. 1,,€ 1.60,Tivoli Avenue 793,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.281171,53.31987</coordinates></Point>","-6.281171,53.31987</coordinates></Point>","-6.281171,53.31987",-6.281171,53.31987
918,Villiers Road,,55 P n D,Opposite No.25,,€ 1.00,Vernon Grove 822,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.265797,53.313743</coordinates></Point>","-6.265797,53.313743</coordinates></Point>","-6.265797,53.313743",-6.265797,53.313743
919,St Annes Road,9,62 P n D,Junction St Patricks Road,,€ 1.60,On Street,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.260814,53.363203</coordinates></Point>","-6.260814,53.363203</coordinates></Point>","-6.260814,53.363203",-6.260814,53.363203
920,Ashfield Park,,,Junction Mount Tallant Avenue,,€ 1.00,Ashdale Road,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.283171,53.315666</coordinates></Point>","-6.283171,53.315666</coordinates></Point>","-6.283171,53.315666",-6.283171,53.315666
921,Iona Road,,156 P n D,Junction Hollybank Road,,€ 1.60,On Street,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.260756,53.367569</coordinates></Point>","-6.260756,53.367569</coordinates></Point>","-6.260756,53.367569",-6.260756,53.367569
922,Hollybank Road,,156 P n D,At No. 57,,€ 1.60,On Street,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.259093,53.367464</coordinates></Point>","-6.259093,53.367464</coordinates></Point>","-6.259093,53.367464",-6.259093,53.367464
923,Hollybank Road,,156 P n D,At No. 1,,€ 1.60,On Street,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.256451,53.36703</coordinates></Point>","-6.256451,53.36703</coordinates></Point>","-6.256451,53.36703",-6.256451,53.36703
924,Harold Road,2,,At No.33,21/04/2008,€ 1.60,Ivar Street,Mon-Fri  07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.288055,53.35258</coordinates></Point>","-6.288055,53.35258</coordinates></Point>","-6.288055,53.35258",-6.288055,53.35258
925,Avondale Avenue,7,,Opposite No. 24,,€ 2.40,NCR (No. 59),Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.276288,53.359824</coordinates></Point>","-6.276288,53.359824</coordinates></Point>","-6.276288,53.359824",-6.276288,53.359824
926,Milltown Road,6,,Car Park Bring Centre,,€ 1.00,N/A,Mon-Fri 11.00-16.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.247052,53.311987</coordinates></Point>","-6.247052,53.311987</coordinates></Point>","-6.247052,53.311987",-6.247052,53.311987
927,Synnot Row,,29 P n D,Opp. No. 24,,€ 1.60,Valentia Parade,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.262348,53.360951</coordinates></Point>","-6.262348,53.360951</coordinates></Point>","-6.262348,53.360951",-6.262348,53.360951
928,Sherrard Avenue,,24 P n D,Opposite No. 19,,€ 1.60,North Circular Road,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.258159,53.360163</coordinates></Point>","-6.258159,53.360163</coordinates></Point>","-6.258159,53.360163",-6.258159,53.360163
929,Belvidere Place,,,Opposite No. 5,,€ 2.40,Sherrard Street,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.257529,53.357916</coordinates></Point>","-6.257529,53.357916</coordinates></Point>","-6.257529,53.357916",-6.257529,53.357916
930,Grattan Court East,,,Jct Mount Street Lower,,€ 2.90,Mount Street Lower,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Yellow,Y,"<Point><coordinates>-6.243331,53.338648</coordinates></Point>","-6.243331,53.338648</coordinates></Point>","-6.243331,53.338648",-6.243331,53.338648
931,Carlisle Avenue,4,30 P n D,At No. 1,,€ 2.40,Marlboro Road,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Red,Y,"<Point><coordinates>-6.244771,53.323689</coordinates></Point>","-6.244771,53.323689</coordinates></Point>","-6.244771,53.323689",-6.244771,53.323689
932,Daniel Street,,53 P n D,Opposite No. 5,,€ 2.40,Clanbrasil Street Lower,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.273283,53.334961</coordinates></Point>","-6.273283,53.334961</coordinates></Point>","-6.273283,53.334961",-6.273283,53.334961
933,Sandford Avenue,,,No 21,15/12/2008,€ 1.60,Sandford Gardens,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,,"<Point><coordinates>-6.282383,53.333412</coordinates></Point>","-6.282383,53.333412</coordinates></Point>","-6.282383,53.333412",-6.282383,53.333412
934,Shangan Ave,,,Opposite Centra,15/12/2008,€ 1.00,none nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,I Hour limit,Orange,,"<Point><coordinates>-6.256389,53.393556</coordinates></Point>","-6.256389,53.393556</coordinates></Point>","-6.256389,53.393556",-6.256389,53.393556
935,Hollybank Avenue,,87 P n D,Junct. Sandford Avenue,12/01/2009,€ 1.60,None nearby,Mon-Fri  07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.245682,53.320881</coordinates></Point>","-6.245682,53.320881</coordinates></Point>","-6.245682,53.320881",-6.245682,53.320881
936,Cherryfield Avenue,,82 P n D,Opposite no.1,12/01/2009,€ 1.60,None nearby,Mon-Fri  07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.245531,53.320178</coordinates></Point>","-6.245531,53.320178</coordinates></Point>","-6.245531,53.320178",-6.245531,53.320178
937,Norwood Park,,16 P n D,Junct. Sandford Road,12/01/2009,€ 1.60,None nearby,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.243985,53.319822</coordinates></Point>","-6.243985,53.319822</coordinates></Point>","-6.243985,53.319822",-6.243985,53.319822
938,Martins Row,2,10,At Pharmacy,01/04/2009,€ 1.00,None,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.344578,53.349298</coordinates></Point>","-6.344578,53.349298</coordinates></Point>","-6.344578,53.349298",-6.344578,53.349298
939,Kenilworth Park,,,O/s No. 14,,€ 1.00,none,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.280385,53.318906</coordinates></Point>","-6.280385,53.318906</coordinates></Point>","-6.280385,53.318906",-6.280385,53.318906
942,Wigan Road,,,Junction Whitworth Road,,€ 1.60,David Road,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.267241,53.363647</coordinates></Point>","-6.267241,53.363647</coordinates></Point>","-6.267241,53.363647",-6.267241,53.363647
943,Charleville Road,,57,O/s No. 20,,€ 1.60,545 Cabra Road,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.282683,53.360311</coordinates></Point>","-6.282683,53.360311</coordinates></Point>","-6.282683,53.360311",-6.282683,53.360311
944,Dargle Road,,105,O/S No. 1A,,€ 1.60,Glenarm Avenue 946,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.257342,53.365821</coordinates></Point>","-6.257342,53.365821</coordinates></Point>","-6.257342,53.365821",-6.257342,53.365821
945,Crawford Avenue,9,,Opp. No. 28,,€ 1.60,None Nearby,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.262478,53.366974</coordinates></Point>","-6.262478,53.366974</coordinates></Point>","-6.262478,53.366974",-6.262478,53.366974
